Name;TT value;Source
Mining Finder Depth Enhancer 1;0.8;Crafted
Mining Finder Depth Enhancer 2;0.8;Crafted
Mining Finder Depth Enhancer 3;0.8;Crafted
Mining Finder Depth Enhancer 4;0.8;Crafted
Mining Finder Depth Enhancer 5;0.8;Crafted
Mining Finder Depth Enhancer 6;0.8;Crafted
Mining Finder Depth Enhancer 7;0.8;Crafted
Mining Finder Depth Enhancer 8;0.8;Crafted
Mining Finder Depth Enhancer 9;0.8;Crafted
Mining Finder Depth Enhancer 10;0.8;Crafted
Mining Finder Range Enhancer 1;1;Crafted
Mining Finder Range Enhancer 2;1;Crafted
Mining Finder Range Enhancer 3;1;Crafted
Mining Finder Range Enhancer 4;1;Crafted
Mining Finder Range Enhancer 5;1;Crafted
Mining Finder Range Enhancer 6;1;Crafted
Mining Finder Range Enhancer 7;1;Crafted
Mining Finder Range Enhancer 8;1;Crafted
Mining Finder Range Enhancer 9;1;Crafted
Mining Finder Range Enhancer 10;1;Crafted
Mining Finder Skill Modification Enhancer 1;0.6;Crafted
Mining Finder Skill Modification Enhancer 2;0.6;Crafted
Mining Finder Skill Modification Enhancer 3;0.6;Crafted
Mining Finder Skill Modification Enhancer 4;0.6;Crafted
Mining Finder Skill Modification Enhancer 5;0.6;Crafted
Mining Finder Skill Modification Enhancer 6;0.6;Crafted
Mining Finder Skill Modification Enhancer 7;0.6;Crafted
Mining Finder Skill Modification Enhancer 8;0.6;Crafted
Mining Finder Skill Modification Enhancer 9;0.6;Crafted
Mining Finder Skill Modification Enhancer 10;0.6;Crafted
